상호,설명,업소정보,리뷰
통인시장,"세종마을은 추사 김정희 등 조선시대 예능인들이 모이는 중심지였으며 근대에도 이상 등 문인들이 활동하던 중심지였다. 일제강점기 일본인들을 위해 만들어진 공설시장이 모태이나 6.25이후 인구증가로 시장의 필요성이 높아져 현재처럼 물건을 사고파는 시장의 형태를 갖추게 되었다.    통인시장은 상권이 활성화된 곳으로 다른 전통시장의 벤치마킹 사례로 유명하며 특히 통인시장에서 자체 제작한 엽전은 통인시장만의 즐길 거리다. 엽전으로 환전함과 동시에 검은색 플라스틱 식판도 받게 되는데 이때부터 식판을 들고 다니면서 시장 곳곳을 다니며 음식을 먹을 수 있다. 단, 엽전은 가맹점에서만 사용 가능하다.","{'전화번호': '02-722-0911', '웹사이트': 'https://tonginmarket.modoo.at/', '홈페이지 언어': '한국어', '이용시간': '통인시장 영업시간 : 07:00 ~ 21:00\n※ 상점에 따라 상이하며, 정확한 개점, 폐점 시간은 없음\n 도시락 카페 영업시간 화~금 11:00 ~ 16:00, 토~일 11:00 ~ 17:00 \n※ 도시락 카페 엽전 판매는 평일 11:00 ~ 15:00, 주말 11:00 ~ 16:00까지', '휴무일': '통인시장 휴무일 : 매월 셋째주 일요일\n도시락 카페 휴무일 : 매주 월요일, 매월 셋째주 일요일', '주소': '03036  서울 종로구 자하문로15길 18', '교통 정보': '3호선 경복궁역 2번 출구에서 약 515m (도보 8분)'}","[{'review': '생각보다 짧고 작은 시장입니다. 그러나 엽전은 정말 색다르고, 통인시장만의 색깔을 갖게 하는 좋은 아이디어인것 같습니다.\n 시장분들도 판매하는것 좋지만 차가운 음식은 전자렌지 돌리라는 안내좀 해주셨으면ㅠㅠ', 'score': '4'}, {'review': '시장에 장을 보러 간다기보다는 분위기를 느끼고 길거리음식들 사먹는 재미로 들러보면 좋을 것 같다\n물건들을 사는 방식이 옛날 조선시대 스타일이어서 아이들이 함께가도 재밌을것 같아요', 'score': '3'}, {'review': '북촌들려 경복궁 관람 후 서촌으로 넘어가서 통인시장마무리, 이 코스 나쁘지 않다. 통인시장은 엽전을 사고, 다니면서 원하는 음식을 도시락 용기에 담는다. 서서 먹어도 되지만 2층에 준비된 공간도 있다. 음식맛 최고인데 겨울에는 음식을 만드는 곳 앞에서 바로 먹는것을 추천한다. 담아서 다니다 보면 일찍 식어버려서 맛이 떨어진다. 주말에는 너무 복잡하고...', 'score': '4'}, {'review': '엽전을 이용한 도시락을 먹을 수 있어서 색다른 추억을 만들 수 있습니다. 기름떡볶이, 떡갈비 등 다양한 음식을 즐길 수 있어요. 다만 대체적으로 기름지거나 튀긴 음식이 많아요', 'score': '3'}, {'review': '종로 쪽 좋아해서 자주 다니는데, 주로 북촌만 가다가 서촌쪽에서 이곳에 처음 갔을 때 떡갈비의 맛에 반해버렸습니다. 그래서 저거 먹고싶어서라도 가요. 떡볶이떡같은 떡에 고기를 입혀서 구워주시는 느낌이에요. 아 물론 다른 가게들도 맛있습니다. 도시락카페 좋은 것 같아요', 'score': '4'}]"
두레한식당,"60여 년 전 경남 밀양에서 개업한 이래, 인사동에서 2대에 걸쳐 명맥을 이어온 유명 한정식 레스토랑이다. 제철 식재료로 만든 정갈하고 깔끔한 한정식 코스와 일품요리를 제공한다. 한식이 익숙지 않은 외국 관광객이라면 석쇠에 구운 떡갈비 메뉴, 산채비빔밥 반상 등을 추천한다.가요프로그램 <인기가요> MC로 활약 중인 미녀 자매, 배우 공승연과 인기 걸그룹 트와이스의 정연의 부친인 유창준 셰프가 활동하고 있는 한식당이다. 유창준 셰프는 서울 유명 호텔에서 20년 이상 경력을 쌓은 실력파 셰프로 알려져 있다.","{'전화번호': '02-3213-2638', '이용시간': '10:30 - 22:00', '휴무일': '연중무휴', '운영 요일': '월~일', '이것만은 꼭!': '식사 영수증이 있어도 유료 주차이므로 참고해두자.', '대표메뉴': '떡갈비, 산채비빔밥 반상', '주소': '05551  서울 송파구 올림픽로 300 (신천동)  롯데백화점 에비뉴엘 월드파타워점 6F', '교통 정보': '8호선 잠실역 2번출구 도보 3분'}",[]
카몽(KAMONG),"엑소의 멤버 ‘카이가 꿈을 꾸다’라는 뜻을 가진 카페 카몽은 카이의 누나가 운영하고 있는 곳으로, 엑소 팬들의 아지트 같은 곳이다. 인기 메뉴는 아이스크림과 신선한 과일을 곁들인 와플이며, 컵과 냅킨 등의 소품에서 카이가 직접 그린 그림과 메시지들을 발견할 수 있다. 카이가 엑소 멤버들과 방문하는 모습이 팬들에게 종종 포착되기도 한다고.","{'전화번호': '0507-1498-5951', '웹사이트': 'http://instagram.com/kamong.coffee', '홈페이지 언어': '한국어', '이용시간': '월요일 ~ 금요일 08:00 ~ 22:00\n토요일 11:00 ~ 22:00 \n일요일 11:00 ~ 22:30', '운영 요일': '매일', '이것만은 꼭!': '*매월 첫째주 토요일은 와플을 판매하지 않습니다.', '주소': '06647  서울 서초구 서초대로42길 17 (서초동)', '교통 정보': '2호선 서초역 1번 출구에서 약 120m (도보 1분)'}",[]
놀부유황오리진흙구이(잠실점),"보약을 다리는 정성으로 구워내는 유황오리. 유황오리 진흙구이는 황토진흙으로 만든 토기에 유황오리를 넣고, 450。가마에서 3시간 동안 익힌 것으로 많은 시간과 정성이 담겨 있다. 유황오리 속에는 찹쌀과 흑미, 서리태로 지은 밥은 물론 당귀, 인삼, 녹각, 감초, 은행, 무화과, 잣 등의 보약재까지 넉넉하게 들어간다.","{'전화번호': '0507-1383-5292', '이용시간': '11:30~22:00 (15:00~17:00 브레이크타임)', '휴무일': '연중 무휴', '이용요금': '약 4 ~ 7만원대', '대표메뉴': '유황오리 진흙구이, 유황오리, 통오리훈제바베큐', '주소': '05549  서울 송파구 오금로 131 (방이동)', '교통 정보': '9호선 송파나루역 2번 출구에서 약 256m (도보 3분)'}","[{'review': '오리구이는 거의 바베큐로만 먹었는데 여기는 진흙구이 전문점이에요. 생각보다 오리살 식감이 부드럽고 맛이 좋았습니다.', 'score': '3'}, {'review': '시어머니께서 오리고기를 워낙 좋아하셔서 방문해서도 먹고 배달도 시켜먹는곳인데 너무 맛있다. 오리고기를 중심으로 밑반찬도 골고루 나오는데 다 맛잇고 오리고기는 냄새도 안나고 껍찔은 바베큐 스럽고 안은 촉촉하고 밥도 고소하고 고구마토막도 넘 달콤하고 맛있다. 견과류도 아삭아삭함.', 'score': '5'}, {'review': '위치가 애매해서 대중교통으로 찾아오시긴\n힘들지만 이미 오리좋아하시는분들 사이에서는\n유명한 오리집이예요\n저는 집근처라 자주가는데 가격대비해서\n음식이정갈하고 깔끔합니다\n손님접대하기좋구요\n가족끼리 모임으로도 좋아요\n예약은필수입니다', 'score': '5'}, {'review': '오리진흙구이를 파는 곳이 많지 않아 방문할만함\n위치가 조금 애매하지만 주말에는 가족 손님이 많음', 'score': '4'}]"
클럽 NB2,"강남역 거리 및 홍대 클럽 거리에 위치한 대형 힙합댄스 클럽이다. ’99년 말 홍대에 첫선을 보인 클럽 nb는 이후 강남점, 홍대 2호점이 잇따라 문을 열며 클럽 붐을 일으켰다. 국내외 힙합 뮤지션 및 DJ의 공연을 즐길 수 있다. 유명인들이 자주 방문한다.","{'전화번호': '0507-1323-8213', '웹사이트': 'https://www.instagram.com/clubnb_official', '이용시간': '일요일~목요일 22:00~06:00, 금요일~토요일 21:30~07:30', '운영 요일': '월요일~일요일', '주소': '04041  서울 마포구 와우산로 72', '교통 정보': '6호선 상수역 2번 출구에서 약 341m (도보 4분)'}","[{'review': '솔직히 좁지만 춤추기에는 나쁘지 않습니다. 테이블은 전부 다 2층에 있고 1층은 스테이지입니다. 이태원의 라운지 클럽 같은 경우는 중간 중간 테이블이 많아서 불편한데 여기는 테이블석과 스테이지가 분리되어 있는 게 춤추기가 편해 좋습니다. 술값도 저렴하고, 음악도 힙합이 주지만 유명한 가요나 팝도 나와서 대중적입니다.', 'score': '4'}]"
삼청각,"삼청각은 여야 고위정치인의 회동과 남북적십자회담, 한일회담 협상 장소로 이용되었던 전통예술복합문화공간이다. 공연장, 한식당, 찻집, 객실 등으로 구성되어있으며 월요일을 제외하고는 연중 전통공연이 열린다. 삼청각에 있는 건물들은 한국의 건축미를 느낄 수 있는 한옥으로, 본채인 일화당과 동백헌, 유하정, 취한당, 천추당, 청천당 등 5개의 별채로 이루어져 있다. 이 중 일화당 1층에 삼청각 한식당이 있다. 삼청각 한식당은 고급한식을 자연의 풍류와 함께 즐길 수 있는 훌륭한 장소다.","{'전화번호': '02-765-3700', '웹사이트': 'http://www.samcheonggak.or.kr', '홈페이지 언어': '한국어', '이용시간': '12:00~22:00', '휴무일': '명절 당일 휴무', '장애인 편의시설': '장애인화장실\n장애인 전용 주차장\n접근가능', '대표메뉴': '산청(12만원), 인청(15만원), 수라(20만원)', '주소': '02822  서울 성북구 대사관로 3 (성북동, 삼청각)', '교통 정보': '5호선 광화문 교보문고 앞 셔틀버스 이용(10:00~21:00)'}","[{'review': '영국에서 찿아온 손님을 모시고  오랬동안 기억에 남을수 있는 한국의 정취가 묻어나는  곳들을 물색하다가 근처에 유명한 사찰인 길상사, 고가구 박물관 방문까지 계획하고  서울 도심에서 가까운 곳 산속의 삼청각을 찿게 되었다.\n\n친절한 안내로 예약된 방으로 왔는데\n창문을 통하여 한폭의 동양화를 보는듯 들떤 마음으로 식사를 시작 \n채식주의자인 영국 친구를 위한...', 'score': '4'}, {'review': '음식도 맛있었고 룸도 조용하고 좋았습니다\n외국인 손님들 대접하기 좋은장소입니다\n식사도 맛있었고 코스 마지막에는 비빔밥, 물냉면, 비빔냉면 중에 선택할 수 있습니다', 'score': '4'}, {'review': '고풍스러운 분위기, 친절한 서빙, 음식 또한 정갈하고  너무좋았습니다 손님들도 장소선택 잘했다고 칭찬들어서 더 좋았습니다!!', 'score': '5'}, {'review': '교통편이 조금 쉽진않았지만 준비하는 과정이나 행사당일 서비스에 너무 만족합니다.  가족행사에 필요한것들 바로바로 응대해 주셔서 너무 만족한 하루였습니다. 음식도 깔끔하고 맛있는건 기본이고요.', 'score': '5'}, {'review': '외국인들 만찬으로 갔었습니다.\n가격대비 음식이 너무 부실했고 회사돈이지만 돈이 너무 아까웠네요 \n서빙하는 아르바이트분들도 너무 어설프고 전체적으로 실망입니다.\n플레이팅도 너무 별로여서 음식 나올 때마다 상사분들께 제가 다 죄송했네요', 'score': '1'}]"
필경재,필경재는 서울 강남구 수서동에 있는 조선시대 전통가옥이다. 전주이씨 정안부정공의 종갓집으로 내려오는 종택이며 전통건조물 제1호로 지정되어있다. 1999년부터는 궁중음식 전문점으로 운영되고 있다.,"{'전화번호': '02-445-2115', '웹사이트': 'http://www.philkyungjae.co.kr ', '이용시간': '매일 12:00~15:00, 18:00~22:00', '휴무일': '명절 당일 휴무', '대표메뉴': '미정식, 죽정식, 국화정식', '주소': '06352  서울 강남구 광평로 205', '교통 정보': '3호선 수서역 1번 출구에서 약 616m (도보 8분)'}","[{'review': '음식보다는 음식점 자체의 분위기가 좋은 곳입니다. 가격은 조금 비싼 편이, 내국인들은 주로 상견례 때 방문하는 편입니다. 한국인보다는 외국인에게 추천합니다.', 'score': '4'}, {'review': '이번에는 뉴욕에서 놀러온 외국 친구들과 함께 갔었어요.\n음식 맛도 한결같고, 특히 저녁식사 하러가서 식사 후 정원을 즐겨보세요.', 'score': '5'}, {'review': '가족모임으로 주말저녁 식사했습니다.\n음식은 대체적으로 짰고 미역국은 오래 끓여서 텁텁하고 간장게장 전복죽은 비린내가 많이 났어요. \n고즈넉한 고궁의 분위기는 좋았지만 \n음식은 너무 맛이없었고 \n서빙해주시는분이 어찌나 접시를 탁탁 내려놓고 불친절 했는지 그 불쾌함은 이루 말할 수 없었습니다. \n다시는 가고싶지 않네요.', 'score': '1'}, {'review': '고급 한정식집으로\n가족모임이나 상견례 같은거로 좋은거같아요\n서비스도 좋고\n맛도 깔끔하고 경치도 좋네요', 'score': '5'}, {'review': '손님 모시고 가기 좋은 한식당으로서, 수서 쪽에 위치하고 있습니다. 룸에서 식사하실 수 있고 정원이 아주 아름답습니다. 가격대가 있는만큼 음식도 아주 맛있구요.', 'score': '4'}]"
BHC 사당점,"BHC 사당점은 지하 1층부터 옥상 테이블까지 자리가 넉넉하게 마련되어 있다. 최근 인기를 얻고 있는 매운맛 치킨인 ‘맵스터’를 비롯해 인도 커리를 활용한 ‘커리치킨’, 해바라기유로 튀겨 고소한 식감이 일품인 ‘해바라기 프라이드치킨’ 등이 인기 메뉴다.","{'전화번호': '02-582-2004', '웹사이트': 'http://www.bhc.co.kr', '홈페이지 언어': '한국어', '이용시간': '12:00 - 02:00', '휴무일': '연중무휴', '운영 요일': '월 ~ 일', '대표메뉴': '뿌링클, 맵스터, 커리치킨, 해바라기 프라이드치킨', '주소': '07015  서울 동작구 동작대로7길 16 (사당동)', '교통 정보': '2,4호선 사당역 10번 출구에서 약 244m (도보 3분)'}",[]
패션파이브,"한남동의 랜드마크. 인테리어, 맛, 데코까지 만족할 만하다. 가격은 다소 부담스럽지만 고급스런 빵을 맛볼 수 있는 특권을 누릴 수 있다.","{'전화번호': '0507-1416-9505', '웹사이트': 'https://spcpassion5.com/', '이용시간': '07:30 ~ 22:00', '휴무일': '연중무휴', '운영 요일': '월요일 ~ 일요일', '이용요금': '약 1만원대', '대표메뉴': '베이커리', '주소': '04399  서울특별시 용산구 이태원로 272 (한남동)', '교통 정보': '6호선 한강진역 3번 출구에서 약 169m (도보 2분)'}","[{'review': '교양식사에서 저녁을 먹은뒤 디저트 가게로 왔다\n예전부터 디저트 가게로 유명한곳.\n2층에선 식사도 가능하다. 다양한 케익과 빵을\n본다면 닫혔던 지갑을 열수밖에 없을것이다.\n재방문 의사 있습니다', 'score': '4'}, {'review': '맛있는 식사와 음료도 같이!!\n패션5 2층에서는 브런치나 애프터눈티 세트\n파스타. 샐러드. 스테이크. 커피. 음료 등\n즐겁게 식사할 수 있는 곳이예요\n저는 늘 세트로 주문하는데요\n파스타나 스테이크 등 세트 주문시엔\n음료나 커피를 원하는 것으로 주문할 수 있어요\n그래서 전 늘 아보카도커피로 주문해요.\n첫번째 커피를 마시고 나면\n아메리카노 리필도 가능하답니다!', 'score': '4'}, {'review': '한강역을 갈때면 꼭 들르는 곳입니다.\n자주 가기에는 가격이 좀 부담스럽지만 맛스러운 빵과 눈까지 행복하게 해주는 드저트를 보기위해 가끔 찾는곳입니다. 가끔 즐기기에 좋아요.', 'score': '4'}, {'review': '스타벅스에 스타벅스 리저브가 있다면, SPC는 패션5가 있습니다. SPC그룹내 최고급 베이커리 겸 카페입니다. 홍차 한잔에 9,000원, 밀크티 한잔에 10,000원 하는 사악한 가격을 자랑하지만, 맛있어서 또 찾아오게끔 되는 묘한 매력을 가진 곳입니다. 가격만 착했더라면 별 5개 줬을겁니다.', 'score': '4'}, {'review': '옛날 처음에는 괜찮았는데 최근 몇년전부터는 시장통 분위기입니다. 전체적인 인테리어 점검도 필요한거 같아요. 가격도 비쌉니다.', 'score': '3'}]"
삼거리포차,"삼거리포차는 20대에게 주로 인기가 많은 술집으로 통오징어 떡볶이가 유명하며 복고 느낌의 인테리어를 통해 7080의 감성을 느낄 수 있다. 나이를 불문하고 신분증이 없을 시, 출입이 통제되므로 공적으로 인정받을 수 있는 신분증을 반드시 지참해야 한다.","{'전화번호': '02-3144-6748', '이용시간': '17:00 ~ 05:30 (라스트오더 05:00)', '주소': '04067  서울특별시 마포구 와우산로 70  (서교동)', '교통 정보': '6호선 상수역 2번 출구에서 약 333m (도보 5분)'}",[]
